ID,OrphaCode,DisorderName,DisorderType,GroupID,GroupName,Count,DDA,DDAFreq,DDASeverity
230,893,WAGR syndrome,Malformation syndrome,36547,Disorder,91,Seeing/watching,Very frequent,Moderate
3716,503,Larsen syndrome,Malformation syndrome,36547,Disorder,10,Hearing/listening,Frequent,Moderate
219,894,Waardenburg syndrome type 1,Clinical subtype,36554,Subtype of disorder,32,"Managing one's health (diet, medications, prevention, needs, assistance, monitoring)",Frequent,Moderate
220,895,Waardenburg syndrome type 2,Clinical subtype,36554,Subtype of disorder,32,Hearing/listening,Very frequent,Moderate
959,897,Waardenburg-Shah syndrome,Disease,36547,Disorder,36,Hearing/listening,Very frequent,Moderate
10313,33226,Waldenstr�m macroglobulinemia,Disease,36547,Disorder,48,Seeing/watching,Occasional,Unspecified
3033,3449,Weill-Marchesani syndrome,Malformation syndrome,36547,Disorder,8,Seeing/watching,Frequent,Unspecified
759,900,Granulomatosis with polyangiitis,Disease,36547,Disorder,43,Standing,Occasional,Low
960,902,Werner syndrome,Disease,36547,Disorder,25,Speaking,Very frequent,Unspecified
14544,99971,Well-differentiated liposarcoma,Histopathological subtype,36554,Subtype of disorder,55,Standing,Very frequent,Severe
839,2314,Autosomal dominant hyper-IgE syndrome,Disease,36547,Disorder,9,Taking part in community life,Occasional,Moderate
5543,428,Autosomal dominant hypocalcemia,Clinical subtype,36554,Subtype of disorder,7,"Performing vigorous activities (climbing, running, jumping, swimming,...)",Frequent,Low
894,3451,West syndrome,Clinical syndrome,36547,Disorder,111,Seeing/watching,Very frequent,Low
145,904,Williams syndrome,Malformation syndrome,36547,Disorder,78,Seeing/watching,Frequent,Low
134,905,Wilson disease,Disease,36547,Disorder,68,Walking short distances,Occasional,Severe
812,3463,Wolfram syndrome,Disease,36547,Disorder,55,Learning a profession (vocational training/apprenticeship) in the standard environment,Very frequent,Severe
1461,1215,Autosomal dominant optic atrophy plus syndrome,Disease,36547,Disorder,67,Receiving nonverbal messages,Frequent,Moderate
13690,98673,"Autosomal dominant optic atrophy, classic form",Disease,36547,Disorder,46,Seeing/watching,Very frequent,Severe
13880,98863,X-linked Emery-Dreifuss muscular dystrophy,Etiological subtype,36554,Subtype of disorder,42,Writing,Occasional,Low
14786,101075,X-linked Charcot-Marie-Tooth disease type 1,Disease,36547,Disorder,42,"Performing vigorous activities (climbing, running, jumping, swimming,...)",Very frequent,Unspecified
16884,139396,X-linked cerebral adrenoleukodystrophy,Clinical subtype,36554,Subtype of disorder,82,Seeing/watching,Very frequent,Severe
293,861,Treacher-Collins syndrome,Malformation syndrome,36547,Disorder,69,Seeing/watching,Occasional,Unspecified
10319,33364,Trichothiodystrophy,Disease,36547,Disorder,98,Seeing/watching,Occasional,Moderate
19764,254693,Partial hydatidiform mole,Clinical subtype,36554,Subtype of disorder,5,Handling emotions and mood,Very frequent,Moderate
3713,2542,Isolated microphthalmia-anophthalmia-coloboma,Clinical group,36540,Group of disorders,63,Moving around within the home,Frequent,Unspecified
19593,250923,Isolated aniridia,Morphological anomaly,36547,Disorder,43,Seeing/watching,Very frequent,Complete
1231,3375,Trisomy X,Malformation syndrome,36547,Disorder,77,Acquiring language,Frequent,Unspecified
660,805,Tuberous sclerosis complex,Disease,36547,Disorder,140,Seeing/watching,Occasional,Low
18394,199302,Isolated cleft lip,Morphological anomaly,36547,Disorder,17,"Caring for body parts (skin, teeth, nails, hair, genitals)",Frequent,Moderate
20071,263553,Peeling skin syndrome type B,Clinical subtype,36554,Subtype of disorder,42,Focusing attention,Frequent,Moderate
44,881,Turner syndrome,Malformation syndrome,36547,Disorder,33,Hearing/listening,Frequent,Severe
14210,99413,Turner syndrome due to structural X chromosome anomalies,Etiological subtype,36554,Subtype of disorder,33,Hearing/listening,Frequent,Severe
2983,3366,Isolated trigonocephaly,Morphological anomaly,36547,Disorder,6,Interacting with other people,Very frequent,Moderate
2641,2924,Isolated polycystic liver disease,Malformation syndrome,36547,Disorder,3,Doing housework,Occasional,Low
12793,96169,Koolen-De Vries syndrome,Malformation syndrome,36547,Disorder,72,Participating in a conversation,Frequent,Moderate
139,739,Prader-Willi syndrome,Disease,36547,Disorder,119,Using communication devices,Frequent,Unspecified
10326,33543,Kleine-Levin syndrome,Disease,36547,Disorder,107,Seeing/watching,Frequent,Moderate
1061,133,Chronic beryllium disease,Disease,36547,Disorder,39,Communicating with others,Occasional,Low
42,461,Recessive X-linked ichthyosis,Disease,36547,Disorder,19,Acquiring language,Occasional,Moderate
2684,2978,Chronic intestinal pseudoobstruction,Clinical syndrome,36547,Disorder,85,Hearing/listening,Occasional,Moderate
20909,294422,Chronic intestinal failure,Clinical syndrome,36547,Disorder,55,Speaking,Occasional,Moderate
117,501,Lafora disease,Disease,36547,Disorder,84,Speaking,Very frequent,Complete
21817,324964,Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis,Disease,36547,Disorder,23,"Performing vigorous activities (climbing, running, jumping, swimming,...)",Occasional,Moderate
19173,231226,Dominant beta-thalassemia,Clinical subtype,36554,Subtype of disorder,109,Acquiring language,Occasional,Low
12438,93605,Classic Bartter syndrome,Clinical subtype,36554,Subtype of disorder,25,Learning to read,Occasional,Moderate
19545,247775,Mayer-Rokitansky-K�ster-Hauser syndrome type 1,Clinical subtype,36554,Subtype of disorder,5,Making/keeping friends,Occasional,Low
13835,98818,Landau-Kleffner syndrome,Disease,36547,Disorder,64,Using communication devices,Very frequent,Severe
10583,43393,Lambert-Eaton myasthenic syndrome,Disease,36547,Disorder,25,Walking long distances,Frequent,Moderate
665,244,Primary ciliary dyskinesia,Disease,36547,Disorder,65,Hearing/listening,Very frequent,Moderate
3250,633,Laron syndrome,Disease,36547,Disorder,128,Acquiring language,Frequent,Low
370,626,Large congenital melanocytic nevus,Disease,36547,Disorder,54,Acquiring language,Occasional,Moderate
381,773,Refsum disease,Disease,36547,Disorder,103,Seeing/watching,Very frequent,Severe
874,186,Primary biliary cholangitis,Disease,36547,Disorder,32,Walking long distances,Frequent,Moderate
10801,60032,Recurrent respiratory papillomatosis,Disease,36547,Disorder,28,Speaking,Frequent,Moderate
12791,96167,Recombinant 8 syndrome,Malformation syndrome,36547,Disorder,82,Bending,Very frequent,Severe
294,308,Unverricht-Lundborg disease,Malformation syndrome,36547,Disorder,113,Regulating urination,Very frequent,Low
12501,93941,Laryngotracheoesophageal cleft type 4,Clinical subtype,36554,Subtype of disorder,34,Speaking,Very frequent,Moderate
12498,93938,Laryngotracheoesophageal cleft type 1,Clinical subtype,36554,Subtype of disorder,12,Speaking,Occasional,Low
12500,93940,Laryngotracheoesophageal cleft type 3,Clinical subtype,36554,Subtype of disorder,21,Speaking,Frequent,Moderate
12499,93939,Laryngotracheoesophageal cleft type 2,Clinical subtype,36554,Subtype of disorder,14,Speaking,Occasional,Low
22216,357220,Primary essential cutis verticis gyrata,Disease,36547,Disorder,10,"Caring for body parts (skin, teeth, nails, hair, genitals)",Very frequent,Low
967,888,Van der Woude syndrome,Malformation syndrome,36547,Disorder,7,Hearing/listening,Frequent,Low
17077,141291,Cleft lip and alveolus,Morphological anomaly,36547,Disorder,17,"Caring for body parts (skin, teeth, nails, hair, genitals)",Frequent,Moderate
12168,93111,HNF1B-related autosomal dominant tubulointerstitial kidney disease,Clinical subtype,36554,Subtype of disorder,38,Acquiring language,Occasional,Unspecified
19168,231178,Usher syndrome type 2,Clinical subtype,36554,Subtype of disorder,59,Seeing/watching,Frequent,Low
19167,231169,Usher syndrome type 1,Clinical subtype,36554,Subtype of disorder,85,Engaging in paid work in a supported/sheltered environment,Occasional,Moderate
19169,231183,Usher syndrome type 3,Clinical subtype,36554,Subtype of disorder,37,Seeing/watching,Very frequent,Severe
10453,39044,Uveal melanoma,Disease,36547,Disorder,22,Seeing/watching,Occasional,Unspecified
11265,79239,Classic galactosemia,Disease,36547,Disorder,41,Acquiring language,Occasional,Low
19331,240071,Classic progressive supranuclear palsy syndrome,Clinical subtype,36554,Subtype of disorder,108,Looking after/helping others,Very frequent,Complete
11280,79254,Classic phenylketonuria,Clinical subtype,36554,Subtype of disorder,17,Focusing attention,Occasional,Low
3400,2584,Classic mycosis fungoides,Disease,36547,Disorder,36,Focusing attention,Frequent,Unspecified
10307,33069,Dravet syndrome,Disease,36547,Disorder,114,Acquiring language,Frequent,Severe
116,870,Down syndrome,Malformation syndrome,36547,Disorder,111,Controlling one's own general behaviour,Occasional,Unspecified
477,1775,Dyskeratosis congenita,Disease,36547,Disorder,16,Seeing/watching,Occasional,Unspecified
1645,190,Coats disease,Disease,36547,Disorder,13,Seeing/watching,Frequent,Low
472,235,Dubowitz syndrome,Malformation syndrome,36547,Disorder,87,Seeing/watching,Occasional,Moderate
14345,99772,Cleft velum,Morphological anomaly,36547,Disorder,9,Using communication devices,Occasional,Moderate
12432,93599,Primary hyperoxaluria type 2,Clinical subtype,36554,Subtype of disorder,60,Walking short distances,Occasional,Moderate
12431,93598,Primary hyperoxaluria type 1,Clinical subtype,36554,Subtype of disorder,60,Seeing/watching,Occasional,Moderate
17766,168491,Late infantile neuronal ceroid lipofuscinosis,Disease,36547,Disorder,79,Seeing/watching,Very frequent,Severe
18496,206443,Late-infantile/juvenile Krabbe disease,Clinical subtype,36554,Subtype of disorder,93,Seeing/watching,Frequent,Moderate
12008,90321,Cockayne syndrome type 1,Clinical subtype,36554,Subtype of disorder,186,Learning to calculate,Frequent,Severe
12009,90322,Cockayne syndrome type 2,Clinical subtype,36554,Subtype of disorder,168,Seeing/watching,Frequent,Severe
445,193,Cohen syndrome,Malformation syndrome,36547,Disorder,131,Seeing/watching,Very frequent,Unspecified
1665,1493,Vici syndrome,Malformation syndrome,36547,Disorder,89,Seeing/watching,Frequent,Severe
11337,79311,Vitamin B12-responsive methylmalonic acidemia type cblB,Clinical subtype,36554,Subtype of disorder,152,Seeing/watching,Occasional,Unspecified
11336,79310,Vitamin B12-responsive methylmalonic acidemia type cblA,Clinical subtype,36554,Subtype of disorder,131,Acquiring language,Frequent,Severe
885,2382,Lennox-Gastaut syndrome,Disease,36547,Disorder,138,Acquiring language,Frequent,Severe
16684,137605,Legius syndrome,Malformation syndrome,36547,Disorder,5,Focusing attention,Occasional,Low
1784,1782,Dysosteosclerosis,Malformation syndrome,36547,Disorder,96,Learning to read,Occasional,Moderate
14291,99718,Leber plus disease,Disease,36547,Disorder,62,Seeing/watching,Very frequent,Moderate
167,104,Leber hereditary optic neuropathy,Disease,36547,Disorder,59,Seeing/watching,Very frequent,Severe
3243,65,Leber congenital amaurosis,Disease,36547,Disorder,23,Seeing/watching,Very frequent,Unspecified
10385,35689,Primary lateral sclerosis,Disease,36547,Disorder,45,Handling objects (fine hand use),Frequent,Moderate
11097,77240,Primary lymphedema,Category,36540,Group of disorders,31,Maintaining a standing position,Occasional,Moderate
783,171,Primary sclerosing cholangitis,Disease,36547,Disorder,22,Walking long distances,Occasional,Low
13955,98938,Colobomatous microphthalmia,Malformation syndrome,36547,Disorder,63,Seeing/watching,Frequent,Unspecified
8708,49,Penile agenesis,Morphological anomaly,36547,Disorder,4,Engaging in sexual relationships,Frequent,Moderate
558,705,Pendred syndrome,Malformation syndrome,36547,Disorder,23,Travelling,Very frequent,Low
20777,289916,Vitamin B12-unresponsive methylmalonic acidemia type mut0,Clinical subtype,36554,Subtype of disorder,131,Acquiring language,Frequent,Severe
91,778,Rett syndrome,Disease,36547,Disorder,92,Seeing/watching,Very frequent,Moderate
11941,90050,Retinopathy of prematurity,Disease,36547,Disorder,170,Seeing/watching,Occasional,Low
17617,166096,Von Willebrand disease type 3,Clinical subtype,36554,Subtype of disorder,90,Standing,Frequent,Severe
17612,166081,Von Willebrand disease type 2,Clinical subtype,36554,Subtype of disorder,47,Travelling,Frequent,Moderate
17611,166078,Von Willebrand disease type 1,Clinical subtype,36554,Subtype of disorder,47,Standing,Occasional,Moderate
19281,238606,Primary orthostatic tremor,Disease,36547,Disorder,30,Maintaining a standing position,Very frequent,Severe
197,510,Lesch-Nyhan syndrome,Disease,36547,Disorder,72,Socializing,Very frequent,Low
659,791,Retinitis pigmentosa,Disease,36547,Disorder,47,Seeing/watching,Very frequent,Complete
14212,99429,Complete androgen insensitivity syndrome,Disease,36547,Disorder,6,Engaging in and maintaining intimate relationships,Frequent,Unspecified
19763,254688,Complete hydatidiform mole,Clinical subtype,36554,Subtype of disorder,5,Handling emotions and mood,Very frequent,Moderate
12201,93258,Pfeiffer syndrome type 1,Clinical subtype,36554,Subtype of disorder,21,Seeing/watching,Occasional,Low
12203,93260,Pfeiffer syndrome type 3,Clinical subtype,36554,Subtype of disorder,57,Seeing/watching,Occasional,Low
19334,240103,Progressive supranuclear palsy-corticobasal syndrome,Clinical subtype,36554,Subtype of disorder,120,Maintaining head position,Very frequent,Moderate
19332,240085,Progressive supranuclear palsy-parkinsonism syndrome,Clinical subtype,36554,Subtype of disorder,45,Walking long distances,Very frequent,Severe
19333,240094,Progressive supranuclear palsy-pure akinesia with gait freezing syndrome,Clinical subtype,36554,Subtype of disorder,109,Seeing/watching,Frequent,Moderate
1460,1214,Progressive hemifacial atrophy,Disease,36547,Disorder,30,Seeing/watching,Occasional,Low
18037,178509,Perry syndrome,Disease,36547,Disorder,56,Thinking and reasoning,Occasional,Low
353,1947,"Progressive epilepsy-intellectual disability syndrome, Finnish type",Disease,36547,Disorder,82,Seeing/watching,Occasional,Moderate
648,418,Congenital adrenal hyperplasia,Clinical group,36540,Group of disorders,29,"Managing one's health (diet, medications, prevention, needs, assistance, monitoring)",Very frequent,Unspecified
11567,83420,Proximal spinal muscular atrophy type 4,Clinical subtype,36554,Subtype of disorder,39,Producing nonverbal messages,Occasional,Low
566,2970,Prune belly syndrome,Malformation syndrome,36547,Disorder,7,Changing body position,Occasional,Unspecified
11566,83419,Proximal spinal muscular atrophy type 3,Clinical subtype,36554,Subtype of disorder,65,Learning to write,Occasional,Low
11565,83418,Proximal spinal muscular atrophy type 2,Clinical subtype,36554,Subtype of disorder,50,Writing messages,Frequent,Severe
3557,35,Propionic acidemia,Disease,36547,Disorder,90,Taking part in community life,Frequent,Severe
3387,2965,Prolactinoma,Disease,36547,Disorder,3,Handling emotions and mood,Frequent,Moderate
1727,742,Prolidase deficiency,Disease,36547,Disorder,116,Acquiring language,Frequent,Low
1481,115,Congenital contractural arachnodactyly,Malformation syndrome,36547,Disorder,34,Changing body position,Frequent,Low
10845,64741,Pulmonary blastoma,Disease,36547,Disorder,5,Walking short distances,Occasional,Unspecified
10804,60039,Pudendal neuralgia,Disease,36547,Disorder,55,"Handling stress, responsabilities, emergencies and ensuring one's safety",Occasional,Low
629,54,X-linked recessive ocular albinism,Disease,36547,Disorder,9,Moving around outside the home,Frequent,Moderate
11724,85453,X-linked reticulate pigmentary disorder,Disease,36547,Disorder,20,Seeing/watching,Very frequent,Severe
2177,2322,Kabuki syndrome,Malformation syndrome,36547,Disorder,160,Washing oneself,Occasional,Moderate
3249,478,Kallmann syndrome,Clinical subtype,36554,Subtype of disorder,11,Hearing/listening,Occasional,Low
155,792,X-linked retinoschisis,Malformation syndrome,36547,Disorder,18,Seeing/watching,Very frequent,Severe
169,481,Kennedy disease,Disease,36547,Disorder,51,Dressing/undressing,Frequent,Moderate
11259,79233,Hypoxanthine guanine phosphoribosyltransferase partial deficiency,Disease,36547,Disorder,71,Acquiring language,Very frequent,Unspecified
61,480,Kearns-Sayre syndrome,Disease,36547,Disorder,88,Seeing/watching,Very frequent,Severe
12020,90342,Xeroderma pigmentosum variant,Disease,36547,Disorder,37,Dressing/undressing,Very frequent,Low
3253,910,Xeroderma pigmentosum,Disease,36547,Disorder,119,Seeing/watching,Occasional,Severe
12056,90647,Jervell and Lange-Nielsen syndrome,Disease,36547,Disorder,31,Hearing/listening,Very frequent,Moderate
518,2308,Jacobsen syndrome,Malformation syndrome,36547,Disorder,109,Regulating urination,Frequent,Moderate
10376,35173,X-linked dominant chondrodysplasia punctata,Disease,36547,Disorder,16,Seeing/watching,Frequent,Moderate
283,474,Jeune syndrome,Malformation syndrome,36547,Disorder,13,Seeing/watching,Occasional,Severe
2510,2754,Orofaciodigital syndrome type 6,Malformation syndrome,36547,Disorder,73,Acquiring language,Very frequent,Severe
19562,248111,Juvenile Huntington disease,Disease,36547,Disorder,118,Cooking/preparing meals,Frequent,Complete
12464,93672,Juvenile dermatomyositis,Disease,36547,Disorder,81,Learning to read,Occasional,Moderate
101,1941,Juvenile absence epilepsy,Disease,36547,Disorder,26,Focusing attention,Occasional,Low
11713,85436,Psoriasis-related juvenile idiopathic arthritis,Disease,36547,Disorder,21,Seeing/watching,Occasional,Low
12410,93568,Juvenile polymyositis,Disease,36547,Disorder,59,Learning to read,Occasional,Moderate
11290,79264,Juvenile neuronal ceroid lipofuscinosis,Disease,36547,Disorder,77,Seeing/watching,Very frequent,Severe
12466,93685,Unicentric Castleman disease,Clinical subtype,36554,Subtype of disorder,118,Acquiring language,Occasional,Severe
12484,93924,Lobar holoprosencephaly,Clinical subtype,36554,Subtype of disorder,112,Moving around outside the home,Frequent,Severe
12000,90289,Localized scleroderma,Disease,36547,Disorder,57,Standing,Occasional,Low
11281,79255,GM1 gangliosidosis type 1,Clinical subtype,36554,Subtype of disorder,76,Carrying out daily routines,Very frequent,Complete
11283,79257,GM1 gangliosidosis type 3,Clinical subtype,36554,Subtype of disorder,48,Playing with others,Very frequent,Moderate
21841,325448,Leydig cell hypoplasia due to LHB deficiency,Clinical subtype,36554,Subtype of disorder,4,Engaging in sexual relationships,Frequent,Moderate
741,755,Leydig cell hypoplasia,Disease,36547,Disorder,4,Engaging in sexual relationships,Frequent,Moderate
12835,96266,Leydig cell hypoplasia due to partial LH resistance,Clinical subtype,36554,Subtype of disorder,4,Engaging in sexual relationships,Frequent,Moderate
12834,96265,Leydig cell hypoplasia due to complete LH resistance,Clinical subtype,36554,Subtype of disorder,4,Engaging in sexual relationships,Frequent,Moderate
11263,79237,Galactokinase deficiency,Disease,36547,Disorder,69,Seeing/watching,Occasional,Severe
8580,525,Lichen planopilaris,Disease,36547,Disorder,24,Dealing with strangers,Occasional,Severe
11104,77261,Gaucher disease type 3,Clinical subtype,36554,Subtype of disorder,76,Regulating defecation,Occasional,Unspecified
1989,2072,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,Clinical subtype,36554,Subtype of disorder,9,Seeing/watching,Occasional,Low
11102,77259,Gaucher disease type 1,Clinical subtype,36554,Subtype of disorder,46,Standing,Occasional,Severe
18907,220407,Limited systemic sclerosis,Clinical subtype,36554,Subtype of disorder,112,Playing with others,Frequent,Severe
18906,220402,Limited cutaneous systemic sclerosis,Clinical subtype,36554,Subtype of disorder,112,Standing,Occasional,Low
278,565,Menkes disease,Disease,36547,Disorder,64,Seeing/watching,Occasional,Complete
7033,2902,Idiopathic chronic eosinophilic pneumonia,Disease,36547,Disorder,78,Focusing attention,Frequent,Low
8751,88,Idiopathic aplastic anemia,Disease,36547,Disorder,19,Walking short distances,Frequent,Low
16892,139423,Idiopathic acute transverse myelitis,Clinical subtype,36554,Subtype of disorder,114,Learning to read,Occasional,Unspecified
